__id,fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
row-hgrg_szha-j3ci,23/05/2022,lunes,22/05/2022,domingo,no aplica,no,si,si,no,no,no,femenino,25,no,ninguno,soltera,bachiller,callejon los correa,comuna8,cgto rozo,no aplica,no aplica,no aplica,no aplica,no aplica,masculino,ex pareja,no aplica,26,soltero(a),no aplica,vigilante,no aplica,callejon el saman,no aplica,no aplica
row-94r9-b8ur_ga89,26/05/2022,jueves,23/05/2022,lunes,no aplica,si,si,si,no,si,no,masculino,62,no,ninguno,union libre,primaria,callejon bugui bugui,comuna8,cgto rozo,independiente,no aplica,propia,no aplica,no aplica,masculino,hijo(a),no aplica,36,soltero(a),primaria,constructor,callejon bugui bugui,no aplica,cgto rozo,no aplica
row-gghe_2y4w_wmmv,31/05/2022,martes,26/05/2022,jueves,no aplica,si,si,si,no,no,no,masculino,62,no,ninguno,no aplica,no aplica,no aplica,comuna11,cgto las dolores,no aplica,no aplica,propia,no aplica,no aplica,masculino,hijo(a),no aplica,no aplica,soltero(a),no aplica,no aplica,no aplica,no aplica,cgto las dolores,no aplica
row-fmah_amtg~henj,02/05/2022,lunes,30/04/2022,sábado,12:00 m.,si,si,si,no,si,no,femenino,35,no,ninguno,soltero(a),primaria incompleta,ninguno,comuna1,llanos de la rivera,independiente,1,familiar,2,0,masculino,ex-conyuge,2,40,soltero(a),bachiller completo,empleado,ninguno,comuna1,llanos de la rivera,familiar
row-vvg7-f4ax-mcj8,02/05/2022,lunes,02/05/2022,lunes,15:41 p.m.,si,si,si,no,si,no,femenino,35,no,ninguno,soltero(a),primaria incompleta,ninguno,comuna1,reservas de zamorano,independiente,1,familiar,2,0,masculino,ex-conyuge,1,no aplica,soltero(a),primaria incompleta,desempleado,ninguno,comuna1,reservas de zamorano,familiar
row-g2gx-e35y~eap2,03/05/2022,martes,02/05/2022,lunes,13:39 p.m.,si,si,si,no,si,no,masculino,33,no,ninguno,soltero(a),pregrado,ninguno,comuna2,departamental,independiente,0,propia,2,4,femenino,ex-conyuge,2,36,soltero(a),primaria incompleta,independiente,ninguno,comuna1,zamorano,familiar
row-27qm~amak-srr5,09/05/2022,lunes,08/05/2022,domingo,11:17 AM,si,si,si,no,si,no,femenino,28,no,ninguno,unión libre,bachiller completo,ninguno,comuna1,villa diana,independiente,2,familiar,4,0,masculino,ex-conyuge,2,no aplica,unión libre,primaria incompleta,desempleado,ninguno,comuna1,villa diana,familiar
row-9u9j-3vid-t43u,10/05/2022,martes,08/05/2022,domingo,11:17 AM,si,no,si,no,si,no,femenino,29,no,ninguno,unión libre,bachiller completo,ninguno,comuna1,reservas de zamorano,independiente,2,alquilada,7,0,masculino,ex-conyuge,1,33,unión libre,primaria incompleta,independiente,ninguno,comuna1,loreto,familiar
row-k4dg-8uew.py7g,16/05/2022,lunes,10/05/2022,martes,08:56 AM,si,si,si,no,si,no,femenino,41,no,ninguno,casado(a),primaria incompleta,ninguno,comuna1,ignacio torres,independiente,1,familiar,3,0,masculino,conyuge,1,51,casado(a),primaria incompleta,independiente,ninguno,comuna1,coronado,alquilada
row-t9bf~yxnr_kb4p,17/05/2022,martes,14/05/2022,sábado,1:00 a.m.,si,si,si,no,si,no,femenino,22,no,ninguno,soltero(a),bachiller completo,ninguno,comuna2,altamira,independiente,1,familiar,2,0,masculino,conyuge,0,34,soltero(a),primaria incompleta,independiente,ninguno,comuna3,santa bárbara,alquilada
row-s7cy_9wv3~7sut,18/05/2022,miércoles,17/05/2022,martes,10:43 a.m.,si,si,si,si,si,no,femenino,38,no,ninguno,unión libre,bachiller completo,ninguno,comuna1,harold eder,independiente,4,familiar,7,0,masculino,ex-conyuge,4,46,unión libre,bachiller completo,empleado,ninguno,comuna1,harold eder,familiar
row-vhvr.9tra~idsw,19/05/2022,jueves,18/05/2022,miércoles,9:30 a.m.,si,no,si,no,si,no,femenino,78,no,ninguno,viudo(a),primaria incompleta,ninguno,comuna2,estonia,independiente,3,propia,4,0,femenino,hijo(a),5,50,unión libre,primaria incompleta,desempleado,ninguno,comuna2,estonia,familiar
row-fc5f.rtuv_c5tz,23/05/2022,no aplica,no aplica,no aplica,no aplica,si,si,si,no,si,no,masculino,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,femenino,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica
row-qdra~nk86~mmfi,23/05/2022,no aplica,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,masculino,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica,no aplica
row-ds4q.csrn_uf48,23/05/2022,lunes,20/05/2022,viernes,14:18 p.m.,si,si,si,no,si,no,femenino,27,no,ninguno,soltero(a),bachiller incompleto,ninguno,comuna1,molinos cien.,independiente,2,alquilada,6,0,masculino,hermano(a),0,no aplica,soltero(a),bachiller completo,independiente,ninguno,comuna1,molinos cien.,alquilada
row-ndcw-g5dt~27zs,24/05/2022,martes,22/05/2022,domingo,8:43 a.m.,si,si,si,no,si,no,femenino,36,no,ninguno,soltero(a),primaria completa,ninguno,comuna1,bicentenario,independiente,6,alquilada,3,0,masculino,ex-conyuge,0,17,soltero(a),bachiller incompleto,independiente,ninguno,comuna1,coronado,familiar
row-uvvv_4cxt-pvgh,25/05/2022,miércoles,22/05/2022,domingo,13:33 p.m.,si,no,si,no,si,no,femenino,31,no,ninguno,soltero(a),bachiller incompleto,ninguno,comuna1,molinos cien.,independiente,4,alquilada,5,0,masculino,ex-conyuge,0,33,soltero(a),bachiller completo,independiente,ninguno,comuna1,caña real,alquilada
row-vzxm~7d4x-pjhg,27/05/2022,viernes,24/05/2022,martes,8:00 a.m..,si,si,si,no,si,no,femenino,38,no,ninguno,soltero(a),técnico,ninguno,comuna1,reservas de zamorano,independiente,1,propia,2,0,masculino,ex-conyuge,0,32,unión libre,primaria incompleta,independiente,ninguno,comuna2,alameda,alquilada
row-4rv4.7gpg_w8w6,27/05/2022,viernes,25/05/2022,miércoles,10:49 a.m.,si,no,si,no,si,no,femenino,31,no,ninguno,soltero(a),técnico,ninguno,comuna1,zamorano,independiente,1,familiar,5,0,masculino,padre,2,73,casado(a),primaria incompleta,independiente,ninguno,comuna1,zamorano,propia
row-gh7u-crpx~a3v9,27/05/2022,viernes,27/05/2022,viernes,12:00 a.m.,si,no,si,no,si,no,femenino,no aplica,no,ninguno,soltero(a),primaria incompleta,ninguno,comuna1,villa diana,independiente,0,alquilada,2,0,masculino,ex-conyuge,0,no aplica,soltero(a),primaria incompleta,independiente,ninguno,comuna1,villa diana,propia
row-fnxw-t7u8-2t7e,02/05/2022,lunes,28/04/2022,jueves,11:58 AM,si,si,si,no,si,no,femenino,33,no,ninguno,soltero(a),bachiller completo,ninguno,comuna2,mirriñao,estudiante,1,alquilada,2,0,masculino,ex-conyuge,1,48,soltero(a),primaria incompleta,independiente,ninguno,comuna2,no,familiar
row-u5v3~5e5t~u8n6,03/05/2022,martes,27/04/2022,miércoles,14:31 p.m.,si,si,si,no,si,no,femenino,22,no,ninguno,soltero(a),técnico,ninguno,comuna7,guayacanes del sur,estudiante,1,familiar,4,2,masculino,ex-conyuge,1,26,soltero(a),primaria incompleta,empleado,ninguno,comuna2,no,familiar
row-yz8h_4vmh.t66g,05/05/2022,jueves,05/05/2022,jueves,16:15 p.m.,si,no,si,no,si,no,femenino,55,no,ninguno,soltero(a),bachiller incompleto,ninguno,comuna2,berlín,independiente,4,alquilada,4,0,masculino,hijo(a),0,25,soltero(a),primaria incompleta,desempleado,ninguno,comuna2,berlín,alquilada
row-mtpz-izag~qusd,05/05/2022,jueves,17/04/2022,viernes,14:49 p.m.,si,si,si,no,si,no,masculino,30,no,ninguno,soltero(a),técnico,ninguno,comuna1,zamorano,independiente,2,alquilada,3,0,femenino,ex-conyuge,2,25,soltero(a),técnico,empleado,ninguno,comuna1,zamorano,alquilada
row-uunb_t944.efna,06/05/2022,viernes,30/04/2022,sábado,3:00 a.m.,si,si,si,no,si,no,femenino,24,no,ninguno,soltero(a),bachiller incompleto,ninguno,comuna2,alameda,independiente,1,alquilada,3,1,masculino,ex-conyuge,3,35,soltero(a),primaria incompleta,independiente,ninguno,comuna2,alameda,alquilada
